id_cliente,nome,cognome,codice_fiscale,data_nascita,indirizzo,cap,citta,provincia,telefono,email,azienda,partita_iva,iban,swift_bic,saldo_euro,data_apertura
11,Tiziana,Giannelli,CLBSLT90B68F501R,1971-04-27,"Canale Ermes, 19",10030,Cocconito Vignaretto,Milano,+39 05729859344,azeglio24@example.com,Frescobaldi-Chigi s.r.l.,IT28837220442,IT27I5197942382498717743301,KXIFIT9GZYT,"46,37 €",2024-02-18
12,Patrizia,Traversa,VTTRSN64M50L773O,1969-05-03,"Canale Adamo, 7 Appartamento 66",01022,San Colombano Belmonte,Vibo Valentia,+39 081100883,luca16@example.org,"Boito, Totino e Bersani Group",IT90994790054,IT42H9730382139884811919348,UXQSITF5,"568,93 €",2022-06-11
13,Eugenia,Bernardi,FRRRND57L64B767C,1995-04-30,"Contrada Maria, 3 Appartamento 77",34136,Ficarolo,Trapani,+39 3710787640,carrieralaureano@example.com,"Abate, Cundari e Giannetti e figli",IT41532670852,IT42Y3535101167960319268762,BKDFITOX,"5,90 €",2025-06-24
14,Federico,Alboni,LCNFDC41R41A983U,1966-01-26,"Vicolo Martino, 13",89049,Bisacquino,Vercelli,+39 375691634,donaticristina@example.com,Juvara-Maggioli e figli,IT00830030912,IT54O4305141918235912816351,CGKIITPWLWE,"867,77 €",2024-02-07
15,Rosaria,Pellico,CREGLI42B53C442O,1976-09-09,"Incrocio Manzoni, 7",11013,Torremaggiore,Torino,07733959080,mantegazzaraffaello@example.com,"Sagredo, Brunelleschi e Passalacqua e figli",IT43778010108,IT69T0067492344518656623661,WYIBITVJ,"675,78 €",2023-09-12
16,Romana,Cutuli,JCZNNZ22M03A891I,1980-12-04,"Stretto Aldo, 65",39044,Lonzano,La Spezia,0371656570,imeldacasini@example.net,Bosurgi-Campise Group,IT63856630817,IT22J8449059503715830104520,IONOIT48,"107,44 €",2021-10-04
17,Alessandro,Cilea,GRNDLS38M04B368W,1993-08-24,"Stretto Tonia, 3 Piano 4",59015,Ceci,Palermo,0154099131,nittoermanno@example.com,Bertolucci e figli,IT90141010794,IT40A1528217061144684003300,SYNBITZL,"2.718,89 €",2023-09-13
18,Sophia,Scaramucci,LGRNTN12H01H152Q,1989-09-09,"Incrocio Mercedes, 5 Appartamento 9",94019,Campremoldo Sopra E Sotto,Pavia,3756506497,cremonesinapoleone@example.com,"Durante, Barozzi e Amato Group",IT54725150624,IT58C6658547303990029039111,SZVBIT39O3F,"3,96 €",2025-01-22
19,Roberto,Fittipaldi,PVNNNL10L61F148W,1972-10-02,"Viale Luchino, 38",23883,Basiasco,Vicenza,030895766,battistihugo@example.org,Lippomano Group,IT41805780420,IT13U0490441764140575008994,CTCUITJY,"9.527,08 €",2021-03-10
20,Alderano,Ferraris,SRRSBN76L50E027V,1976-04-12,"Canale Diana, 60",40125,Conversano,Palermo,3905984402,aldobrandivenancio@example.net,"Monicelli, Mazzacurati e Camanni s.r.l.",IT81747480952,IT73N5660736575359937654830,CAPKIT38GGP,"253,54 €",2022-04-05
21,Tonino,Giacconi,CMPLNA97E25A016Q,1959-03-11,"Vicolo Brenna, 71",41039,Valditacca,Verbano-Cusio-Ossola,+39 0765608829,morgagnienrico@example.com,Savorgnan Group,IT91590450515,IT46R1326002132126966099602,WADSITL4,"5,76 €",2023-03-09
22,Lucrezia,Gianetti,GRGCSN24P65H588W,1972-02-10,"Canale Fioravanti, 365 Appartamento 1",16139,Sant'Agata Mugello,Padova,+39 37355034842,fiorenzo00@example.com,Praga-Sommaruga s.r.l.,IT19125640706,IT97I9752535839842837109692,LBLIITG2RU2,"89,05 €",2024-02-06
23,Milo,Silvestri,FRNFLV46T53G096W,1967-04-02,"Contrada Pacetti, 10",28024,Bertinoro,Rieti,0343847118,jolandamastandrea@example.net,Fischetti-Turci e figli,IT49622020524,IT47C6723831252619681031981,QTIQITHYMXD,"8.794,29 €",2021-03-27
24,Lucio,Curatoli,CRNDLA93H12A987M,1983-12-23,"Stretto Saverio, 4 Piano 7",09098,Pragelato,Reggio Calabria,0382940410,giulianarizzo@example.org,Salvemini-Baglioni s.r.l.,IT88533620907,IT12N8261262285230118432642,KQVDIT24,"19.335,75 €",2022-11-21
25,Gelsomina,Sabatini,ZCCMRN63L07B836K,1956-03-24,"Borgo Manunta, 5",41040,Fabrizia,Cuneo,+39 07768157894,osvaldo20@example.org,"Trevisan, Mondaini e Zaccagnini e figli",IT56343130532,IT32D2076001123088031119365,TYOUITPA3T3,"33.503,74 €",2024-05-29
26,Milo,Donarelli,BTGGFR41H67B738E,1989-10-26,"Borgo Seddio, 71",94017,Cerqueto,Vercelli,09237600223,arganelladio@example.org,"Marangoni, Morgagni e Deledda e figli",IT15018319994,IT25K2305108033466186267338,JEXTITIHWIA,"45,03 €",2021-03-06
27,Ottavio,Gaito,MTLDNI71R25F395R,1964-03-21,"Via Mazzi, 978",10044,Oberau/Bozen,Bergamo,+39 339552012,dariotorricelli@example.com,"Eco, Platini e Marcacci Group",IT28488660144,IT62I8322069769787587809226,XSXBITKXG42,"266,07 €",2021-02-16
28,Lando,Boccioni,BRRGGL75T66G003Y,2001-08-12,"Viale Siffredi, 6",43052,Barone Canavese,Piacenza,0882497466,coluccio82@example.net,"Caironi, Sansoni e Saracino s.r.l.",IT71271610173,IT97D0983838136949848222533,JYEEITYK8VW,"73.494,44 €",2025-11-28
29,Valerio,Satriani,CNTPRS02M50B705B,1976-06-24,"Incrocio Speri, 62",16163,Basovizza,Vibo Valentia,32240160876,pierpaolomontanari@example.com,Anastasi Group,IT77725080392,IT97L5754985404448928146138,PQFJIT1D,"8,23 €",2023-04-02
30,Cirillo,Fo,BZZLGO23P28B010U,2007-05-15,"Via Amalia, 54",37045,Ossimo Inferiore,Palermo,+39 07368304314,donato03@example.org,Ziani s.r.l.,IT89155480448,IT95D4161512521029650449595,IEPQITH7,"909,98 €",2022-06-24
31,Silvio,Verri,SMRNTN52T45L061G,1962-04-06,"Rotonda Marisa, 560",51018,La Muddizza,Pordenone,+39 043275028,uruggieri@example.com,"Ariosto, Notarbartolo e Tomaselli e figli",IT23626390894,IT38E0772523876530501739100,XAQEITRGZ6Z,"90.186,87 €",2024-06-04
32,Gianluca,Necci,VLTLGO75M30B229S,1947-04-21,"Stretto Lucrezia, 623 Appartamento 83",09127,Ciminna,Fermo,099532546,evecoli@example.org,Tozzi-Bresciani SPA,IT98436880052,IT63S6453248494720942920337,ZQKJITI5,"960,50 €",2025-11-24
33,Tonino,Tarantino,BRRBNN51H67G881Q,1978-09-21,"Viale Scandone, 61 Piano 7",21017,Roccamandolfi,Rimini,+39 0324770023,raffaellasordi@example.net,"Parmitano, Beccheria e Mortati Group",IT01204400582,IT95V1920639053467660057574,VZLIITQB,"3.948,75 €",2025-08-05
34,Alessandra,Bompiani,RTCRLD08D69D383U,1965-01-02,"Piazza Manzoni, 8 Appartamento 57",70015,Lombriasco,Teramo,+39 3703373025,mfallaci@example.net,"Rosselli, Vento e Faggiani e figli",IT21405430501,IT70V8541473788990360325491,FCICIT89,"45.196,11 €",2025-03-22
35,Pompeo,Gullotta,BRTFDC23B48H768V,1956-05-10,"Rotonda Amato, 8 Piano 2",21050,Santa Maria Di Labante,Benevento,+39 320648325,ezabarella@example.net,Micheletti s.r.l.,IT00653330142,IT40J7526613210021233765186,PJREITI94NP,"61.500,37 €",2024-11-02
36,Luciana,Villadicani,LBLBNN46B64L838V,1981-05-30,"Strada Dolores, 5",80136,Mili Marina,Fermo,+39 0163390746,tulliovillarosa@example.org,Balbi-Pozzecco Group,IT93924850881,IT21E7984627462491933639824,EPIOIT8V,"331,71 €",2022-08-23
37,Mauro,Gullotta,TMSLTZ81B25F457D,1978-06-27,"Strada Borzomì, 126 Piano 4",20842,Battipaglia,Bari,+39 3225658648,turchettagiampiero@example.com,"Leblanc, Pennetta e Ortese s.r.l.",IT72004040845,IT70O5234347464284998103400,XEUJIT5C,"450,36 €",2022-03-21
38,Teresa,Tamburello,SLVCRN38C15H501G,1952-12-21,"Stretto Iannelli, 74 Piano 2",37011,San Tommaso,Ogliastra,+39 38362810540,lilla12@example.com,Serlupi e figli,IT77932200676,IT66H4987851793839368379132,UYGNITW781H,"7,93 €",2025-01-22
39,Roberta,Farina,PLCDRN64E10L771E,1954-09-18,"Rotonda Annibale, 388",23898,Occhiobello,Campobasso,0543613039,qgrassi@example.com,Giusti-Cagnin SPA,IT37840610325,IT34P8391225338456126022771,NFDKITYUQPZ,"5.349,67 €",2021-11-04
40,Allegra,Tagliafierro,ZPPSRS39C58C283W,1983-02-17,"Borgo Donato, 59",81053,Castelletto Uzzone,Lodi,+39 04224892018,maura03@example.com,Bartoli e figli,IT62339590259,IT10R0245818780143902760929,OFQRIT56RM4,"722,23 €",2023-10-22
41,Filippo,Ponti,GTTGVN64C66M089I,1958-05-25,"Via Eliana, 55 Piano 6",42042,Tortora Marina,Piacenza,+39 09020399508,paolacaccioppoli@example.com,Troisi SPA,IT16362050094,IT70L8363886894173996022851,LSYOITMQ,"432,69 €",2023-05-11
42,Beppe,Bombieri,VTTSNO35L11L840R,1994-02-08,"Stretto Marta, 16 Piano 5",37026,Verica,La Spezia,+39 0961554560,gianluca11@example.net,"Calbo, Ughi e Villarosa SPA",IT86396050485,IT80Y6835304257470680481659,AYPZITE1,"44,63 €",2021-10-01
43,Marcella,Volta,CLRPSL56L71H460L,1976-09-25,"Rotonda Canova, 31",00018,Monsoreto,Venezia,3714643238,zaira38@example.com,Ferrabosco-Tremonti s.r.l.,IT94974370358,IT33I9891557245625953733702,ZFJCITI8,"1,63 €",2023-11-13
44,Alessandra,Corradi,LNULRN69R25D086J,1967-11-04,"Viale Serafina, 63",97100,Murisengo,Potenza,0183204816,sandratrapani@example.net,Zoppetti s.r.l.,IT98055850147,IT69F8621252780855437256567,TBWBITLQ,"65,33 €",2023-08-10
45,Milena,Broschi,SCRRNT93A29D364V,1955-02-05,"Contrada Dibiasi, 6 Piano 1",37100,Vetralla,Perugia,0894706365,elladiomonte@example.org,Morucci-Zaguri Group,IT39084300779,IT45J3775493049875447605569,TKINITTNUGL,"0,96 €",2024-01-07
46,Francesca,Ceravolo,CSRLPN82R67L038O,2005-05-15,"Rotonda Scalera, 98 Piano 9",83030,Il Castagno,Frosinone,3454563806,ubaldo22@example.com,Zaccagnini-Pratesi e figli,IT57338320534,IT06M8350014022179330106935,YZRIITGPO5U,"0,74 €",2025-12-08
47,Uberto,Toscani,VLTCCL71S19I873Q,1960-05-09,"Strada Scaramucci, 411",41020,Castelletto,Reggio Calabria,0122790230,osvaldoinzaghi@example.com,Giusti-Panicucci SPA,IT11999350397,IT95V9235752264674958995235,HKCJITOB,"2,79 €",2023-11-19
48,Iolanda,Bernetti,MTLMRN32H54I866G,1982-02-12,"Piazza Alessandro, 40 Appartamento 50",43059,Mammiano,Forlì-Cesena,0824989917,ugiradello@example.org,Ricolfi e figli,IT80974860589,IT98Y5798316813669531430025,SDGJITKD9R3,"106,47 €",2021-09-13
49,Maria,Randazzo,TSOMRL33E65I225K,1956-07-09,"Canale Munari, 264 Appartamento 1",36011,Borgosatollo,Catanzaro,+39 33829523294,gioffre83@example.com,Guinizzelli-Cilibrasi SPA,IT16206660959,IT18G5253687707966437496191,NWPZIT4K8VV,"78.173,41 €",2025-01-18
50,Lamberto,Bersani,NGLRCR73P69L799V,1973-08-08,"Contrada Majorana, 24",88068,Grado,Milano,+39 331185944,cristinabiagi@example.org,"Coppola, Pellegrini e Brenna Group",IT42436840484,IT50X2769638113626729597035,AQXLITJN,"7.211,73 €",2023-03-02
51,Annetta,Paolucci,TFRDMN80A66E169D,1971-05-26,"Via Battaglia, 7 Appartamento 8",18037,Santeramo In Colle,Matera,058825567,ozecchini@example.net,"Ceschi, Bataglia e Filzi e figli",IT26295170810,IT49I8770509633329262747955,XPJFITD7,"7,85 €",2021-04-23
52,Ivan,Piane,BRFFMM30M18G288S,1982-01-22,"Stretto Ermes, 26",61020,Spianate,Caltanissetta,3755522944,morena81@example.net,"Mercati, Morrocco e Garozzo s.r.l.",IT75233490806,IT94H4194883110906777529316,WPCVITLV,"985,43 €",2021-04-08
53,Alberto,Mattarella,MLSCSN78B50D401H,1989-03-29,"Canale Pierluigi, 21 Piano 1",36011,Laganadi,Perugia,+39 3440120180,victoriaaltera@example.com,"Udinese, Borrani e Bonino Group",IT24278250824,IT68X7922724039136831831703,JHOCITOB8TI,"365,01 €",2022-06-25
54,Eleanora,Armellini,CNTLCZ74E03A877X,1959-02-12,"Rotonda Sonia, 67",61121,Marsiliana,Frosinone,+39 33626929438,gtorricelli@example.net,Praga SPA,IT89213830683,IT44U0012426996829795126020,RRHFIT0IYIL,"96,50 €",2025-09-12
55,Fabrizia,Samele,SFFFMM27T29F437S,2000-04-27,"Vicolo Fabio, 3 Piano 7",09123,Marinella,Isernia,+39 3930355556,flora73@example.com,Cossiga-Gibilisco e figli,IT87346860072,IT91Y4182656211094469105696,VPRZIT5ZWV6,"2,10 €",2023-08-22
56,Salvatore,Petruzzi,GLLGRC41R05D898X,1987-10-22,"Rotonda Gino, 7",29012,Erbusco,Medio Campidano,08193976910,ftoso@example.net,"Fogazzaro, Bernetti e Morandini Group",IT22342288887,IT50M4771792544692700089752,GCSSITMEJDO,"73,82 €",2024-12-23
57,Lilla,Pezzali,MNTGRC76E18F682Q,1998-03-12,"Strada Colletti, 52",41053,Termini,Messina,3205349428,otreves@example.org,Filangieri s.r.l.,IT66184530476,IT37Q0416210176406444232575,QXSPITH0L3J,"1.820,92 €",2024-10-16
58,Ippazio,Tartini,GCCPSL91T68C058S,2001-06-24,"Rotonda Nicoletti, 727 Appartamento 5",30033,San Giovanni In Persiceto,Mantova,3226806124,domeniconordio@example.com,"Antonetti, Maccanelli e Salvini e figli",IT32869750714,IT26H6930633375249563236522,TMECIT1W,"60,16 €",2022-09-22
59,Romolo,Renault,ZCCNZE27P66L212Y,1992-09-07,"Borgo Palladio, 94 Appartamento 4",13898,Pertegada,Modena,+39 0102068360,melinamaglio@example.org,Poerio s.r.l.,IT59407760509,IT90X5341538336092976459835,VEVQITW5,"3.969,73 €",2022-02-11
60,Ennio,Pontecorvo,NRBBLS18L62D872N,1973-03-17,"Viale Antonietta, 8 Appartamento 5",88022,Castelnuovo Bozzente,Palermo,+39 35007400395,gaspare59@example.org,"Sokolov, Montanelli e Biagiotti SPA",IT52038400710,IT81T0456207403467429227874,MVSLIT8ZHTT,"891,00 €",2024-12-12
61,Licia,Cardano,MDNLSN13A06A731M,2002-11-05,"Piazza Villarosa, 7 Piano 2",57125,Castellar Guidobono,Chieti,+39 073340604,barziniarturo@example.com,Papafava-Aldobrandi e figli,IT43736080425,IT66W4169873102177135123881,JJQVIT1B77W,"353,22 €",2023-08-03
62,Raffaella,Gianinazzi,NNCRNF62P48E047T,1963-07-08,"Via Grossi, 10 Appartamento 9",33027,Borgaretto,Savona,+39 3515523846,dgianvecchio@example.net,"Ruberto, Sabatini e Ceci s.r.l.",IT28648950278,IT80B0144180939297015062795,TGWGIT0Y0N3,"20.104,69 €",2022-10-09
63,Marta,Borsiere,PLLCRD21A51E152F,1966-04-12,"Contrada Giannetti, 6 Appartamento 71",64016,Gorghetto,La Spezia,341127106,calogeroboccherini@example.net,Ferrabosco s.r.l.,IT03380620959,IT03P1731162802748480606482,VTMIITOW,"557,07 €",2022-02-13
64,Beatrice,Mezzetta,DNSGNZ15H64E020Y,1966-01-04,"Contrada Valeria, 19",25040,Primolano,Caserta,385424935,rcerquiglini@example.net,Contrafatto Group,IT44201170287,IT71X0540517942485794377273,RMFJITYS,"95.469,46 €",2021-06-13
65,Vittorio,Goldstein,PZZLRT04H04E945G,1946-10-21,"Vicolo Alderano, 896 Piano 2",29029,Specchiarica,Como,+39 0583073788,edoardo79@example.com,Naccari-Renault SPA,IT74767940013,IT74J6652422895373979786632,CRSEIT3KJ64,"41,14 €",2025-08-26
66,Filippa,Ajello,FBBPRI15P43B716U,1993-09-26,"Canale Orsini, 77",12026,Fumeri,Piacenza,+39 0363355529,amaliascotto@example.org,Niggli Group,IT67949261217,IT89S6982494850751621523768,XZLEITID,"5,50 €",2025-11-29
67,Raffaellino,Cilibrasi,TMBNTL21A15I581K,1971-02-04,"Viale Tamburini, 18 Piano 4",67053,Pozzo Della Chiana,Fermo,+39 07363348490,tcarullo@example.com,Sorrentino SPA,IT40163630516,IT33P9131242169300537603289,DJOXIT52,"44,31 €",2022-09-19
68,Chiara,Pedrazzini,NGLNNS06E07G007I,1954-01-14,"Canale Zito, 15",91012,Poggio Dei Pini,Arezzo,3824923343,dantevarano@example.net,"Valier, Sanguineti e Fallaci SPA",IT99545320600,IT72E0009743874384306321436,QCMTITSY3KJ,"26,73 €",2024-12-03
69,Elmo,Vergassola,STNGSI30A42B621I,1979-05-10,"Via Savorgnan, 70 Appartamento 8",09031,Mandas,Udine,348617136,iborrani@example.com,Cammarata-Govoni e figli,IT09957000566,IT89T7444540620623149077210,DMUHIT2U2O6,"86,29 €",2025-05-17
70,Ennio,Piovani,BTNLCN23S12F653W,1965-04-08,"Via Sgarbi, 455",89127,Spigno Saturnia Inferiore,Potenza,+39 034155069,patrizio34@example.com,Toso-Carfagna Group,IT45603230850,IT42B0087258099767232852473,PKXCIT75,"91.513,72 €",2024-08-25
71,Pier,Bragadin,BTTDLM65A41I316E,1960-11-23,"Canale Diana, 1",23900,Robbiano Di Giussano,Pordenone,+39 095148863,msilvestri@example.com,"Ottino, Nugnes e Ferragamo Group",IT33806780509,IT82V5775859700171219813717,KDRHITZUQBX,"559,18 €",2024-06-09
72,Riccardo,Deledda,ZBRLCI74E06E854I,1950-04-26,"Incrocio Alessia, 655",06062,Fossalon,Bari,+39 349799132,vincenzatartini@example.com,Beccaria-Vidoni e figli,IT27521720824,IT44E2435679044819459213838,HPLHITVY2XN,"318,28 €",2022-02-25
73,Gianpietro,Mondadori,BCCPLM58S25H027J,1987-02-18,"Via Iadanza, 57",13887,Roncogno,Latina,05233087403,gbersani@example.net,Berengario Group,IT50971560672,IT29G1453853678379686503848,XJEWITMO,"245,39 €",2022-07-05
74,Costantino,Ricolfi,MGLGNN78H23C166L,1966-09-13,"Vicolo Turchi, 791",23862,Merano,L'Aquila,+39 0506522345,tostogabriella@example.net,Broggini s.r.l.,IT05330440172,IT85X3376914361684935961466,FQJTIT6R,"8.763,61 €",2021-07-19
75,Flavio,Curatoli,MFFMME11A28L216V,1997-11-23,"Viale Rosaria, 2 Appartamento 0",09095,Comuneglia,Prato,+39 015447620,ruggierocavanna@example.com,Calbo e figli,IT90423890277,IT59D8387312557501348697727,UPCRITS2UXA,"3.390,68 €",2025-01-05
76,Arnaldo,Porcellato,LGRPSL10D51G737H,1953-04-10,"Piazza Delfino, 70",26825,Sant'Elia,Salerno,+39 3701917943,bandellolando@example.com,"Balbo, Pezzali e Gucci e figli",IT28713231216,IT62M3121355238257835771473,GOKXITORPK4,"8.172,20 €",2025-12-15
77,Bruno,Matteotti,NGLPRR20H60D905G,2003-08-01,"Piazza Toninelli, 58 Appartamento 98",18039,Gessopalena,Lodi,+39 092222636,piergiorgiogrossi@example.com,"Ficino, Papetti e Spanevello SPA",IT87710350189,IT46P2288259333828171838475,GSHUITL1,"92.657,31 €",2022-07-27
78,Venancio,Cossiga,NTRRAI12L26F153J,2004-05-10,"Viale Domenico, 52 Appartamento 11",55027,Maiano,Macerata,098465015,cspinola@example.org,Murialdo-Zichichi s.r.l.,IT65230640560,IT82E4210679930229190063422,GEHVITLR,"1.199,48 €",2024-08-13
79,Giuseppina,Dibiasi,MLNGLN54P69F015J,1959-12-21,"Via Dibiasi, 5",41056,Campagnola Cremasca,Lecco,36374357995,dariodulbecco@example.net,Lercari SPA,IT61541540516,IT35V4572819151358799242587,FOPAIT5G,"689,32 €",2025-03-09
80,Agnolo,Filippini,MNLRLD20R70M180X,1950-03-06,"Borgo Borghese, 461 Appartamento 5",91019,Miseno,Enna,0564315194,bocelliignazio@example.com,Nibali s.r.l.,IT75513090615,IT31E3850767560520258965691,ZCKUIT6G,"1.605,52 €",2025-05-25
81,Angelo,Argurio,PRPLGO37T25C101E,1973-05-02,"Stretto Matilda, 4",13868,Priula,Sassari,057532202,susanna44@example.net,"Sorrentino, Vergassola e Ceci Group",IT36756410241,IT07B5630170535452475751157,UKCIITKK,"5.164,39 €",2022-05-20
82,Aria,Bonatti,ZNCLDC69P67B239L,1958-03-13,"Vicolo Pellico, 642 Appartamento 68",27018,San Piero A Grado,Siena,+39 052162758,sleoncavallo@example.org,Casadei-Giannetti Group,IT63198770362,IT09Q1026041238606616727951,OTVGITXI,"678,57 €",2025-06-16
83,Annibale,Almagià,DNTGLI45D26L192L,1991-01-03,"Canale Moneta, 51 Appartamento 4",83047,Calatafimi,Brindisi,0184104456,ninorosmini@example.org,Sinisi s.r.l.,IT46882480430,IT59W6640201776497340359901,QFFJIT86,"96.012,29 €",2022-11-07
84,Nicoletta,Argurio,PGNCRL89A58E375E,1954-11-20,"Stretto Montanari, 55",19033,Canneto Pavese,Chieti,+39 3773342158,righigabriella@example.com,Camicione Group,IT81049400112,IT18J1922684177327092619779,RDGVIT71D11,"3,04 €",2021-06-13
85,Michela,Baggio,CHCLNI19A22G499O,1962-10-13,"Incrocio Satriani, 7",13020,Meta,Brescia,3206005273,cesarerienzo@example.com,Mazzi s.r.l.,IT71873230115,IT45Q4876182012243562103969,DBNXIT4B86Z,"5.200,57 €",2025-08-12
86,Fiorenzo,Tuzzolino,BRGGLS51D70G782V,2000-11-14,"Contrada Cicala, 32",10078,Valle Aurina,Verbano-Cusio-Ossola,09656179362,sabatino97@example.com,"Cendron, Garzoni e Liverotti e figli",IT63255240945,IT78U8358731847355408088985,WMRPITYVYH9,"1,92 €",2023-09-23
87,Virginia,Ovadia,GROCLD38T23F117J,1949-02-01,"Viale Ramona, 78 Piano 9",40010,Locorotondo,Siena,+39 03652666886,ruggero12@example.org,"Zaguri, Bignami e Lombardi s.r.l.",IT46347950530,IT88B8465015742343132173393,WXYYITK12A0,"45,79 €",2022-01-01
88,Virgilio,Almagià,TBLBLD64L59M048I,1978-11-02,"Piazza Galuppi, 983 Appartamento 78",71018,Collepardo,Siracusa,+39 331853176,ugolino08@example.org,Pizzetti-Garobbio s.r.l.,IT56066520380,IT47T9594194202401234446222,NLVYITAEY0O,"9,99 €",2022-07-24
89,Angelica,Caetani,FRRGLI54S44L747R,1974-09-08,"Stretto Silvestro, 81",55013,Gravellona Toce,Ragusa,+39 07762827339,elianapistoletto@example.org,Petruzzi Group,IT02536030444,IT96O0954835886120452296889,PRSMITG1LJE,"477,10 €",2023-03-06
90,Donatella,Stradivari,VGRLNE38M51I469L,1967-03-14,"Piazza Grasso, 286",67035,Paesana,Cremona,042961927,giannuzzimassimo@example.com,"Nicolucci, Casellati e Dovara s.r.l.",IT68816730060,IT24P9977379012579792645973,OGALITHZ,"40.108,95 €",2022-09-16
91,Delfino,Tartaglia,MTTMRN08P57G249Y,1962-10-12,"Viale Salgari, 76 Appartamento 0",27024,Settimo Rottaro,Arezzo,345643193,giannetticarlo@example.net,Nordio SPA,IT33329850367,IT67H7788996454357692510767,DNAOITAE,"9.454,76 €",2022-12-02
92,Fedele,Dandolo,JCZLLL36L18H897F,1969-12-02,"Piazza Berenice, 2 Appartamento 32",25063,Nago Torbole,Ravenna,0362621469,grecoberre@example.net,"Leone, Veneziano e Trupiano e figli",IT75193190032,IT75P6769106807929172782521,QQVJITX2IJ3,"578,47 €",2022-04-28
93,Raffaellino,Fieramosca,LNTLCN94S45H944Z,1955-12-06,"Contrada Gianfrancesco, 90 Appartamento 23",97014,Staggia Modenese,Rieti,+39 3511250378,amleto83@example.com,Fabrizi-Capecchi s.r.l.,IT06738420709,IT52Q8560719765784061453178,NGUMIT2JNYH,"6.448,54 €",2024-12-09
94,Beppe,Camilleri,PRGGRM26A52E889F,1984-09-07,"Stretto Barillaro, 50",28021,Casciana Alta,Savona,0331248025,gustavo95@example.net,Opizzi SPA,IT64890790658,IT74C6001106881755316406739,KHYJITW0,"13.298,45 €",2024-06-25
95,Azeglio,Morellato,CSSMCL26C20A846Q,1998-12-04,"Via Treccani, 79 Appartamento 70",53016,Pitocco,Biella,+39 0835240480,lucio61@example.org,Maggioli-Caruso s.r.l.,IT30534200313,IT09R2079661632894886827644,RVNYITPC,"68.660,03 €",2023-09-21
96,Ermenegildo,Piovani,MZRRNT95R55I333C,1950-11-13,"Vicolo Fernanda, 726",20831,Jolanda Di Savoia,Cuneo,042625638,cassandraligorio@example.org,Binaghi-Terragni SPA,IT31837920979,IT92Y7873060550566181038252,SJDRITNW8CA,"94,56 €",2022-11-04
